Treatment,Specimen,Date Entered,Days Until Death
0.0,1,2020.03.13,2
0.0,2,2020.03.13,1
0.0,3,2020.03.13,1
0.0,4,2020.03.13,1
0.0,5,2020.03.13,1
0.5,6,2020.03.13,2
0.5,7,2020.03.13,NA
0.5,8,2020.03.13,NA
0.5,9,2020.03.13,1
0.5,10,2020.03.13,1
2.0,11,2020.03.13,2
2.0,12,2020.03.13,NA
2.0,13,2020.03.13,NA
2.0,14,2020.03.13,NA
2.0,15,2020.03.13,NA
4.0,16,2020.03.13,2
4.0,17,2020.03.13,NA
4.0,18,2020.03.13,NA
4.0,19,2020.03.13,NA
4.0,20,2020.03.13,5
6.0,21,2020.03.13,NA
6.0,22,2020.03.13,NA
6.0,23,2020.03.13,7
6.0,24,2020.03.13,NA
6.0,25,2020.03.13,NA
9.0,26,2020.03.13,2
9.0,27,2020.03.13,2
9.0,28,2020.03.13,2
9.0,29,2020.03.13,2
9.0,30,2020.03.13,1
